lambdaTimes100,auditThresholdTimes100,outlierRate,n_ok,n_failed,trigger_rate_by_threshold,anomaly_ratio_p50,anomaly_ratio_p95,anomaly_ratio_p99,anomaly_ratio_mean
150,3000,0,40,0,0,0,0,0,0
150,3000,0.2,50,0,0,0,0,0,0
150,3000,0.4,50,0,0,0,0,0,0
250,3000,0,50,0,0,0,0,0,0
250,3000,0.2,50,0,0,0,0,0,0
250,3000,0.4,50,0,0,0,0,0,0
350,3000,0,49,0,0,0,0,0,0
350,3000,0.2,50,0,0,0,0,0,0
350,3000,0.4,50,0,0,0,0,0,0
150,6000,0,50,0,0,0,3333,3333,266.64
150,6000,0.2,50,0,0,0,0,0,0
150,6000,0.4,50,0,0,0,0,0,0
250,6000,0,50,0,0,0,0,0,0
250,6000,0.2,50,0,0,0,0,0,0
250,6000,0.4,50,0,0,0,0,0,0
350,6000,0,50,0,0,0,0,0,0
350,6000,0.2,50,0,0,0,0,0,0
350,6000,0.4,50,0,0,0,0,0,0
150,9000,0,50,0,0,0,3333,3333,533.28
150,9000,0.2,50,0,0,0,0,0,0
150,9000,0.4,50,0,0,0,0,0,0
250,9000,0,50,0,0,0,0,0,0
250,9000,0.2,50,0,0,0,0,0,0
250,9000,0.4,50,0,0,0,0,0,0
350,9000,0,50,0,0,0,0,0,0
350,9000,0.2,50,0,0,0,0,0,0
350,9000,0.4,50,0,0,0,0,0,0