lambdaTimes100,auditThresholdTimes100,outlierRate,n_ok,n_failed,reveals_mean,reveals_p50,interval_width_mean,interval_width_p50,consensus_mean,consensus_p50
150,3000,0,40,0,3,3,42.95,42,10000.1,9999.5
150,3000,0.2,50,0,3,3,1414.76,1412,10160.16,10328.5
150,3000,0.4,50,0,3,3,1411.92,1411,10040.84,10321.5
250,3000,0,50,0,3,3,65.2,64,9999.02,10000
250,3000,0.2,50,0,3,3,2356.4,2354,10133.3,10328
250,3000,0.4,50,0,3,3,2344.76,2342,10107.86,10329
350,3000,0,49,0,3,3,95.3061224489796,84,10001.265306122448,10001
350,3000,0.2,50,0,3,3,3294.6,3282,10079.14,10320
350,3000,0.4,50,0,3,3,3296.96,3300,10091.7,10325
150,6000,0,50,0,3,3,42.32,34,10000.38,9998.5
150,6000,0.2,50,0,3,3,1413,1411,10066.82,10326
150,6000,0.4,50,0,3,3,1414.32,1418,10011.7,10317
250,6000,0,50,0,3,3,64.64,60,10002.24,10001.5
250,6000,0.2,50,0,3,3,2357.4,2354,10117.44,10324.5
250,6000,0.4,50,0,3,3,2359.16,2352,10133.96,10328.5
350,6000,0,50,0,3,3,96.6,84,9999.42,10000
350,6000,0.2,50,0,3,3,3299.28,3293,10052.7,10324
350,6000,0.4,50,0,3,3,3292.36,3296,10054.06,10321.5
150,9000,0,50,0,3,3,44.12,42,10000.7,10001
150,9000,0.2,50,0,3,3,1410.16,1408,10080.7,10326
150,9000,0.4,50,0,3,3,1412.8,1411,10119.4,10327
250,9000,0,50,0,3,3,63.72,60,9999.56,9999.5
250,9000,0.2,50,0,3,3,2360.16,2357,10173.84,10329
250,9000,0.4,50,0,3,3,2359.44,2354,10133.76,10327
350,9000,0,50,0,3,3,99.84,94,9998.72,9996.5
350,9000,0.2,50,0,3,3,3297.76,3304,10092.8,10325
350,9000,0.4,50,0,3,3,3300,3296,10119.82,10327