lambdaTimes100,auditThresholdTimes100,outlierRate,n_ok,n_failed,gas_create_mean,gas_commit_mean,gas_reveal_mean,gas_finalize_mean,gas_total_p50,gas_total_p95,gas_total_p99,gas_total_mean
150,3000,0,40,0,229160,165647.4,292515.3,213374.725,900689,900961.6,900973,900697.425
150,3000,0.2,50,0,229160,165647.64,292516.32,214245,901561,901704,901704,901568.96
150,3000,0.4,50,0,229160,165647.64,292515.84,214242.12,901549,901688,901704,901565.6
250,3000,0,50,0,229160,165645.96,292515.84,213360.6,900689,900846,900989,900682.4
250,3000,0.2,50,0,229160,165652.68,292521.6,214260.34,901561,901704,901780.16,901594.62
250,3000,0.4,50,0,229160,165681.96,292551.36,214252.86,901633,901774.2,901782.12,901646.18
350,3000,0,49,0,229160,165683.32653061225,292551.55102040817,213363.89795918367,900771,901053.8,901067.24,900758.775510204
350,3000,0.2,50,0,229160,165683.4,292553.04,214255.08,901633,901772,901788,901651.52
350,3000,0.4,50,0,229160,165680.52,292553.04,214249.68,901633,901774.2,901782.12,901643.24
150,6000,0,50,0,229160,165681.72,292553.04,212496.46,901031,901325.6,901331,899891.22
150,6000,0.2,50,0,229160,165684.12,292553.28,214521.34,901903,902030,902038.16,901918.74
150,6000,0.4,50,0,229160,165683.64,292553.28,214531.5,901903,902034,902046,901928.42
250,6000,0,50,0,229160,165684.12,292551.84,213633.46,901033,901188,901323.16,901029.42
250,6000,0.2,50,0,229160,165681.96,292552.56,214506.58,901891,902038.8,902046,901901.1
250,6000,0.4,50,0,229160,165683.4,292552.56,214528.66,901897,902046,902046,901924.62
350,6000,0,50,0,229160,165681.48,292551.6,213619.56,901039,901309.6,901319,901012.64
350,6000,0.2,50,0,229160,165682.92,292553.04,214518.16,901891,902038.8,902046,901914.12
350,6000,0.4,50,0,229160,165682.44,292552.56,214515.3,901891,902032.2,902040.12,901910.3
150,9000,0,50,0,229160,165682.68,292553.28,211385.9,901033,901257.85,901325.12,898781.86
150,9000,0.2,50,0,229160,165682.68,292553.28,214510.22,901903,902030,902034,901906.18
150,9000,0.4,50,0,229160,165680.76,292551.84,214509.2,901891,902034,902046,901901.8
250,9000,0,50,0,229160,165682.44,292553.04,213599.46,901033,901257.85,901319,900994.94
250,9000,0.2,50,0,229160,165682.68,292552.08,214535.34,901903,902046,902046,901930.1
250,9000,0.4,50,0,229160,165680.76,292552.8,214514.36,901891,902034,902046,901907.92
350,9000,0,50,0,229160,165682.2,292552.8,213648.08,901045,901309.6,901331,901043.08
350,9000,0.2,50,0,229160,165681.48,292553.04,214508.56,901903,902032.2,902046,901903.08
350,9000,0.4,50,0,229160,165682.92,292552.32,214528.34,901903,902040.6,902046,901923.58